"Split        Time        Length"
"1       1:09.96       1:09.96"
"2       1:25.28         15.31"
"3       2:14.38         49.10"
"4       2:19.81          5.42"
"5       3:07.00         47.19"
"6       3:24.20         17.20"
"7       3:43.76         19.55"
"8       4:01.23         17.46"
"9       5:40.96       1:39.73"
"10       5:53.84         12.87"
"11       6:05.48         11.64"
"12       6:14.33          8.85"
"13       7:04.39         50.05"
"14       7:13.84          9.45"
"15       7:34.75         20.90"
"16       7:44.97         10.21"
"17       8:22.84         37.87"
"18       8:32.99         10.14"
"19       8:52.87         19.88"
"20       9:04.49         11.61"
"21       9:50.25         45.76"
"22      10:02.14         11.88"
"23      10:13.45         11.31"
"24      10:20.56          7.11"
"25      11:00.39         39.82"
"26      11:19.59         19.19"
"27      11:34.27         14.68"
"28      11:46.36         12.09"
"29      12:25.22         38.85"
"30      12:37.36         12.14"
"31      12:52.69         15.32"
"32      13:08.37         15.68"
"33      13:50.67         42.30"
"34      14:05.20         14.53"
"35      14:14.11          8.91"
"36      14:23.57          9.46"
"37      17:05.94       2:42.36"
"38      17:24.20         18.25"
"39      17:37.10         12.90"
"40      17:41.27          4.16"
"41      19:25.99       1:44.71"
"42      19:52.04         26.05"
"43      20:04.23         12.19"
"44      20:13.09          8.85"
"45      21:17.33       1:04.24"
"46      21:27.97         10.63"
"47      21:41.88         13.90"
"48      22:01.18         19.29"
"49      22:51.22         50.04"
"50      23:06.06         14.83"
"51      23:20.46         14.40"
"52      23:35.57         15.10"
"53      24:11.43         35.85"
"54      24:19.02          7.58"
"55      24:27.79          8.77"
"56      24:39.11         11.31"
"57      25:14.11         34.99"
"58      25:31.41         17.30"
"59      25:48.65         17.23"
"60      25:56.65          8.00"
"61      27:07.18       1:10.52"
"62      27:26.53         19.35"
"63      27:40.99         14.45"
"64      27:49.63          8.63"
"65      28:36.16         46.53"
"66      28:47.72         11.55"
"67      29:00.90         13.18"
"68      29:16.02         15.12"
"69      29:57.16         41.14"
"70      30:11.67         14.50"
"71      30:21.74         10.07"
"72      30:33.72         11.98"
"73      31:09.07         35.34"
"74      31:19.30         10.23"
"75      31:29.53         10.22"
"76      31:40.74         11.20"
"77      32:20.82         40.08"
"78      32:33.73         12.90"
"79      32:43.94         10.20"
"80      32:57.75         13.80"
"81      35:32.50       2:34.75"
"82      35:50.81         18.30"
"83      36:06.05         15.24"
"84      36:09.87          3.82"
"85      37:06.85         56.97"
"86      37:16.35          9.50"
"87      37:29.93         13.58"
"88      37:37.80          7.86"
"89      38:42.05       1:04.24"
"90      38:55.06         13.01"
"91      39:07.16         12.09"
"92      39:17.07          9.90"
"93      39:54.21         37.14"
"94      40:06.68         12.47"
"95      40:34.40         27.72"
"96      40:45.18         10.77"
"97      41:10.24         25.05"
"98      41:22.84         12.60"
"99      41:34.75         11.90"
"100      41:48.39         13.64"
"101      42:29.90         41.51"
"102      42:40.93         11.02"
"103      42:50.69          9.76"
"104      43:01.68         10.99"
"105      43:47.36         45.67"
"106      43:58.88         11.52"
"107      44:13.36         14.47"
"108      44:30.55         17.19"
